編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo
288,(82)花建使字第00079號,IJ00810100000840000,1,A01,昇園大樓,花蓮市國光里4鄰林森路322號二樓之2,23.983873,121.6092105,H2:住宅,21,6,40.7,紅燈,,,1,1,6,,"E121°36'33""","N23°59'1"" ",N,,V,V
,,,,A02,吉興華厦,花蓮市國民八街106號,23.9938869,121.6085832,H2:住宅,,6,,,,,1,1,6,,"E121°36'31.45""","N23°59'38.09"" ",N,,V,V
,,,,A03,花蓮女中美育教室,花蓮市民權里菁華街2號,23.9790594,121.6158304,D4:教室,,2,,,,,1,1,6,,"E121°36'58.47""","N23°58'43.78""",N,,,
,,,,A04,,花蓮市民主里北濱街2號,23.9725697,121.613114,H2:住宅,,6,,,3,,,3,6,,"E121°36'58.47""","N23°58'43.78"" ",S,,,
,,,,A05,,花蓮市民主里北濱街6號,23.9731026,121.6132636,H2:住宅,,6,,,3,,,3,6,,"E121°36'49""","N23°58'23.6"" ",S,,,
,,,,A06,,花蓮市北濱街4-1號,23.9726683,121.6131903,G3:店舖 商場 集合住宅 辦公室 避難室,,1,,,,2,,2,6,,"E121°36'38.78""","N23°58'36.43"" ",L,,,
,,,,A07,(已經拆除）,花蓮市民有里北濱街16、20、22、24號,23.9740369,121.614651,,,,,,3,,,3,6,,E121°36.8706',N23°58.4759',C,,,
,,,,A08,麥當勞吉安店,吉安鄉宜昌村中華路二段11號,23.9737352,121.587457,,,,,,3,,,3,8,,E121°35.2563',N23°58.4362',S,V,V,V
,,,,A09,馥邑京華公寓大樓,花蓮市主力里榮正街96號及98號,23.973791,121.5975892,,,,,,3,,,3,7,,E121°35.8514',N23°58.4395',S,V,V,V
,,,,A10,蘇德興代書,花蓮市主計里明義街15號,23.9727653,121.608504,,,,,,,2,,2,7,人工尋找,E121°35.5115',N23°58.3700',S,V,V,V
,,,,A10,花蓮縣電氣裝置業職業工會,花蓮市主計里明義街15之1號,23.9727653,121.608504,,,,,,,2,,2,7,跟上面同一棟,E121°35.5115',N23°58.3700',S,V,V,V
,,,,A11,,花蓮市主計里信義街9號,23.9724997,121.6055719,,,,,,3,,,3,7,,E121°36.3448',N23°58.3487',S,,V,V
,,,,A12,,花蓮市主計里信義街9之1及9之2號,23.9724997,121.6055719,,,,,,3,,,3,7,,E121°36.3448',N23°58.3487',S,V,V,V
,,,,A13,現代生活大廈,花蓮市民樂里民樂三街2號,23.990834,121.6335252,集合住宅,,,,,,2,,2,,,E121°38.0350',N23°59.4329',M,V,V,V
,,,,A14,馬可波羅大樓,花蓮市民運里中興路32號,23.9923516,121.6324188,,,,,,,2,,2,7,無,E121°37.9493',N23°59.5429',L,V,V,V
333,(72)花建使字第00375號,IJ00710100004070000,1,A15,,花蓮市北濱街4號,23.9726683,121.6131903,F3:地下室防空避難室 一樓辦公室 幼稚園,11.4,3,107.6,綠燈,,,1,1,,,E121°36.8052',N23°58.3855',N,,V,V
,,,,A16,,花蓮市民有里康樂街5-5號,23.974053,121.6147021,,15,5,,,,2,,2,,,"E121°36'88.85""","N23°58'45.21""",L,V,,
,,,,A17,,花蓮市民生里復興街35之3號,23.9781711,121.609394,,12,4,,,,2,,2,,,"E121°36'54.55""","N23°58'67.80""",M,V,,
,,,,A18,,花蓮市民生里復興路35之5號,24.0397626,121.6015865,,3,1,,,,2,,2,,,"E121°36'54.34""","N23°58'68.01""",M,V,,
,,,,A19,壽豐農會超市,壽豐鄉壽山村壽山路19號,23.8593411,121.5598345,,,,,,3,,,3,,,"E121°30'59.02""","N23°52'17.41""",S,V,,
,,,,A20,,壽豐鄉中山路五段115號,23.8693628,121.5089805,H2:住宅,6,2,,,,,1,1,,,"E121°30'54.69""","N23°52'16.15""",N,,,
,,,,B01,富臨門,花蓮市國盛五街68號,23.9948724,121.6081622,H2:住宅,25,8,,,,,1,1,6,無,"E121°36'29.61""","N23°59'40.74"" ",N,,,
,,,,B02,豪門天地,花蓮市國盛六街53號,23.9946225,121.6086992,H2:住宅,,,,,,,1,1,6,無,"E121°36'31.72""","N23°59'40.52"" ",N,,,
,,,,B03,花蓮女中綜合教室,花蓮市民權里菁華街2號,23.9790594,121.6158304,D4:教室,18,5,,,3,,,3,6,有,"E121°36'55.16""","N23°58'45.16"" ",S,,,
,(83)花建使字第01101號,IJ00810100005440000,,B04,華爾街大樓,花蓮市民生里8鄰公正街37號七樓之23,23.9781305,121.610071,G3:店舖 商場 集合住宅 辦公室 避難室,35,11,,,,2,,2,6,立面圖相符,"E121°36'35.69""","N23°58'42.10"" ",S,,,
,,,,B05,藍天麗池,花蓮市中正路590號,23.9789404,121.6101284,99B4:國際觀光旅館,36,12,,,,,1,1,6,,"E121°36'35.61""","N23°58'45.10"" ",S,,,
,,,,B06,國軍英雄館,花蓮市民生里花崗街56號,23.9786476,121.6128218,99B4:國際觀光旅館,18,6,,,3,,,3,6,有,"E121°36'46.62""","N23°58'43.37"" ",S,,,
,,,,B07,鋼管紅茶,花蓮市民生里中山路201號,23.9773112,121.6090103,H2:店舖 住宅,12,4,,,3,,,3,6,有,"E121°36'33.0""","N23°58'38.2"" ",S,,,
