編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo,GPS_lon,GPS_lat
288.0,(82)花建使字第00079號,IJ00810100000840000,1.0,A01,昇園大樓,花蓮市國光里4鄰林森路322號二樓之2,23.983873,121.6092105,H2:住宅,21.0,6.0,40.7,紅燈,,,1.0,1,6.0,,"121°36'33""","23°59'1"" ",N,,V,V,121.60916667,23.98361111
,,,,A02,吉興華厦,花蓮市國民八街106號,23.9938869,121.6085832,H2:住宅,,6.0,,,,,1.0,1,6.0,,"121°36'31.45""","23°59'38.09"" ",N,,V,V,121.60873611,23.99391389
,,,,A03,花蓮女中美育教室,花蓮市民權里菁華街2號,23.9790594,121.6158304,D4:教室,,2.0,,,,,1.0,1,6.0,,"121°36'58.47""","23°58'43.78""",N,,,,121.61624167,23.97882778
,,,,A04,,花蓮市民主里北濱街2號,23.9725697,121.613114,H2:住宅,,6.0,,,3.0,,,3,6.0,,"121°36'58.47""","23°58'43.78"" ",S,,,,121.61624167,23.97882778
,,,,A05,,花蓮市民主里北濱街6號,23.9731026,121.6132636,H2:住宅,,6.0,,,3.0,,,3,6.0,,"121°36'49""","23°58'23.6"" ",S,,,,121.61361111,23.97322222
,,,,A06,,花蓮市北濱街4-1號,23.9726683,121.6131903,G3:店舖 商場 集合住宅 辦公室 避難室,,1.0,,,,2.0,,2,6.0,,"121°36'38.78""","23°58'36.43"" ",L,,,,121.61077222,23.97678611
,,,,A07,(已經拆除）,花蓮市民有里北濱街16、20、22、24號,23.9740369,121.614651,,,,,,3.0,,,3,6.0,,121°36.8706',23°58.4759',C,,,,121.61451,23.97459833
,,,,A08,麥當勞吉安店,吉安鄉宜昌村中華路二段11號,23.9737352,121.587457,,,,,,3.0,,,3,8.0,,121°35.2563',23°58.4362',S,V,V,V,121.587605,23.97393667
,,,,A09,馥邑京華公寓大樓,花蓮市主力里榮正街96號及98號,23.973791,121.5975892,,,,,,3.0,,,3,7.0,,121°35.8514',23°58.4395',S,V,V,V,121.59752333,23.97399167
,,,,A10,蘇德興代書,花蓮市主計里明義街15號,23.9727653,121.608504,,,,,,,2.0,,2,7.0,人工尋找,121°35.5115',23°58.3700',S,V,V,V,121.59185833,23.97283333
,,,,A10,花蓮縣電氣裝置業職業工會,花蓮市主計里明義街15之1號,23.9727653,121.608504,,,,,,,2.0,,2,7.0,跟上面同一棟,121°35.5115',23°58.3700',S,V,V,V,121.59185833,23.97283333
,,,,A11,,花蓮市主計里信義街9號,23.9724997,121.6055719,,,,,,3.0,,,3,7.0,,121°36.3448',23°58.3487',S,,V,V,121.60574667,23.97247833
,,,,A12,,花蓮市主計里信義街9之1及9之2號,23.9724997,121.6055719,,,,,,3.0,,,3,7.0,,121°36.3448',23°58.3487',S,V,V,V,121.60574667,23.97247833
,,,,A13,現代生活大廈,花蓮市民樂里民樂三街2號,23.990834,121.6335252,集合住宅,,,,,,2.0,,2,,,121°38.0350',23°59.4329',M,V,V,V,121.63391667,23.99054833
,,,,A14,馬可波羅大樓,花蓮市民運里中興路32號,23.9923516,121.6324188,,,,,,,2.0,,2,7.0,無,121°37.9493',23°59.5429',L,V,V,V,121.63248833,23.99238167
