測站代碼,測站名稱,縣市,鄉鎮,觀測網,經度,緯度,測站高程,郵遞區號,詳細地址
HWA075,紅葉國小,花蓮縣,萬榮鄉,FreeField,121.3451,23.4939,173,97991,紅葉村紅葉一鄰4號
HWA074,化仁國中水璉分校,花蓮縣,壽豐鄉,FreeField,121.5627,23.7875,34,97491,水璉村水璉路6號
HWA073,玉里高中,花蓮縣,玉里鎮,FreeField,121.3191,23.3472,138,98147,中華路424號
HWA072,西寶國小,花蓮縣,秀林鄉,FreeField,121.4817,24.2068,1005,97253,富世村西寶11號
HWA071,光復高工,花蓮縣,光復鄉,FreeField,121.4275,23.6689,126,97641,林森路100號
HWA070,富里,花蓮縣,富里鄉,FreeField,121.2939,23.1988,372,98342,羅山村羅山128號
HWA069,布洛灣,花蓮縣,秀林鄉,FreeField,121.5713,24.1716,674,97253,富世村富世291號
HWA068,東華大學,花蓮縣,壽豐鄉,FreeField,121.5509,23.8974,57,,大學路二段1號
HWA067,大榮國小,花蓮縣,鳳林鎮,FreeField,121.4688,23.7545,91,97541,大榮里復興路85號
HWA066,石梯坪風景區,花蓮縣,豐濱鄉,FreeField,121.5116,23.483,11,97792,石梯坪52號
HWA065,玉里國小,花蓮縣,玉里鎮,FreeField,121.3194,23.3292,129,98144,忠智路43號
HWA063,花蓮縣消防局,花蓮縣,花蓮市,FreeField,121.5929,23.9935,23,97071,中央路三段842號
HWA062,花蓮港務局,花蓮縣,花蓮市,FreeField,121.6198,23.9796,19,97059,海岸路66號
HWA060,鹽寮,花蓮縣,壽豐鄉,FreeField,121.6017,23.9035,66,97449,交通部東管處花蓮遊客服務中心後方山坡
HWA059,壽豐國小,花蓮縣,壽豐鄉,FreeField,121.5073,23.8706,40,97442,壽山路37號
HWA058,銅門國小,花蓮縣,秀林鄉,FreeField,121.4928,23.9659,170,97261,銅門村69號
HWA057,太管處,花蓮縣,秀林鄉,FreeField,121.6229,24.1587,118,97253,富世村富世291號
HWA056,合流,花蓮縣,秀林鄉,FreeField,121.5159,24.1778,445,972,中部橫貫公路(綠水步道)
HWA054,三民國小,花蓮縣,玉里鎮,FreeField,121.3487,23.4305,93,98191,三民里118號
HWA053,太平國小,花蓮縣,卓溪鄉,FreeField,121.3204,23.4064,137,98249,太平村1鄰2號
HWA051,月眉國小,花蓮縣,壽豐鄉,FreeField,121.5568,23.8676,51,97449,月眉村3段24號
HWA049,太昌國小,花蓮縣,吉安鄉,FreeField,121.5645,23.9932,58,97369,太昌村明義五街1號
